Connecting to host 192.168.90.1, port 5201
Reverse mode, remote host 192.168.90.1 is sending
[  5] local 192.168.89.1 port 48016 connected to 192.168.90.1 port 5201
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  25.2 MBytes   211 Mbits/sec  0.096 ms  21425/40290 (53%)  
[  5]   1.00-2.00   sec  26.7 MBytes   224 Mbits/sec  0.049 ms  25220/45233 (56%)  
[  5]   2.00-3.00   sec  26.3 MBytes   221 Mbits/sec  0.087 ms  24786/44505 (56%)  
[  5]   3.00-4.00   sec  25.8 MBytes   216 Mbits/sec  0.101 ms  25192/44512 (57%)  
[  5]   4.00-5.00   sec  26.2 MBytes   220 Mbits/sec  0.112 ms  25841/45476 (57%)  
[  5]   5.00-6.00   sec  25.9 MBytes   218 Mbits/sec  0.064 ms  22862/42291 (54%)  
[  5]   6.00-7.00   sec  26.3 MBytes   221 Mbits/sec  0.071 ms  25436/45134 (56%)  
[  5]   7.00-8.00   sec  26.2 MBytes   219 Mbits/sec  0.084 ms  24949/44544 (56%)  
[  5]   8.00-9.00   sec  25.9 MBytes   217 Mbits/sec  0.099 ms  26081/45445 (57%)  
[  5]   9.00-10.00  sec  25.9 MBytes   217 Mbits/sec  0.101 ms  24142/43540 (55%)  
[  5]  10.00-11.00  sec  26.2 MBytes   220 Mbits/sec  0.073 ms  26332/45975 (57%)  
[  5]  11.00-12.00  sec  25.7 MBytes   216 Mbits/sec  0.090 ms  24650/43920 (56%)  
[  5]  12.00-13.00  sec  25.3 MBytes   212 Mbits/sec  0.089 ms  26385/45356 (58%)  
[  5]  13.00-14.00  sec  25.9 MBytes   218 Mbits/sec  0.126 ms  24869/44295 (56%)  
[  5]  14.00-15.00  sec  25.9 MBytes   217 Mbits/sec  0.050 ms  25874/45271 (57%)  
[  5]  15.00-16.00  sec  26.1 MBytes   219 Mbits/sec  0.046 ms  25392/44965 (56%)  
[  5]  16.00-17.00  sec  25.8 MBytes   216 Mbits/sec  0.091 ms  25225/44540 (57%)  
[  5]  17.00-18.00  sec  26.0 MBytes   218 Mbits/sec  0.086 ms  25877/45368 (57%)  
[  5]  18.00-19.00  sec  25.3 MBytes   212 Mbits/sec  0.144 ms  23165/42081 (55%)  
[  5]  19.00-20.00  sec  26.0 MBytes   218 Mbits/sec  0.090 ms  26674/46118 (58%)  
[  5]  20.00-21.00  sec  25.6 MBytes   215 Mbits/sec  0.110 ms  25423/44598 (57%)  
[  5]  21.00-22.00  sec  25.9 MBytes   217 Mbits/sec  0.077 ms  25776/45138 (57%)  
[  5]  22.00-23.00  sec  25.6 MBytes   215 Mbits/sec  0.070 ms  25922/45092 (57%)  
[  5]  23.00-24.00  sec  25.5 MBytes   214 Mbits/sec  0.057 ms  24781/43852 (57%)  
[  5]  24.00-25.00  sec  26.3 MBytes   221 Mbits/sec  0.071 ms  25283/44988 (56%)  
[  5]  25.00-26.00  sec  25.9 MBytes   217 Mbits/sec  0.109 ms  25920/45305 (57%)  
[  5]  26.00-27.00  sec  26.1 MBytes   219 Mbits/sec  0.109 ms  25000/44530 (56%)  
[  5]  27.00-28.00  sec  26.1 MBytes   219 Mbits/sec  0.117 ms  25818/45339 (57%)  
[  5]  28.00-29.00  sec  25.5 MBytes   214 Mbits/sec  0.067 ms  24140/43229 (56%)  
[  5]  29.00-30.00  sec  26.4 MBytes   221 Mbits/sec  0.080 ms  25839/45610 (57%)  
