Connecting to host 192.168.90.1, port 5201
Reverse mode, remote host 192.168.90.1 is sending
[  5] local 192.168.89.1 port 37224 connected to 192.168.90.1 port 5201
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  23.3 MBytes   196 Mbits/sec  0.118 ms  0/17486 (0%)  
[  5]   1.00-2.00   sec  23.9 MBytes   201 Mbits/sec  0.200 ms  0/17912 (0%)  
[  5]   2.00-3.00   sec  23.9 MBytes   200 Mbits/sec  0.102 ms  0/17896 (0%)  
[  5]   3.00-4.00   sec  23.9 MBytes   201 Mbits/sec  0.123 ms  36/17963 (0.2%)  
[  5]   4.00-5.00   sec  23.5 MBytes   197 Mbits/sec  0.078 ms  0/17617 (0%)  
[  5]   5.00-6.00   sec  23.9 MBytes   200 Mbits/sec  0.083 ms  0/17890 (0%)  
[  5]   6.00-7.00   sec  23.8 MBytes   200 Mbits/sec  0.077 ms  11/17860 (0.062%)  
[  5]   7.00-8.00   sec  24.0 MBytes   201 Mbits/sec  0.084 ms  0/17940 (0%)  
[  5]   8.00-9.00   sec  23.8 MBytes   200 Mbits/sec  0.104 ms  0/17835 (0%)  
[  5]   9.00-10.00  sec  23.8 MBytes   200 Mbits/sec  0.084 ms  0/17845 (0%)  
[  5]  10.00-11.00  sec  23.8 MBytes   200 Mbits/sec  0.099 ms  0/17818 (0%)  
[  5]  11.00-12.00  sec  23.9 MBytes   200 Mbits/sec  0.096 ms  0/17873 (0%)  
[  5]  12.00-13.00  sec  24.0 MBytes   201 Mbits/sec  0.060 ms  0/17959 (0%)  
[  5]  13.00-14.00  sec  23.7 MBytes   199 Mbits/sec  0.101 ms  40/17777 (0.23%)  
[  5]  14.00-15.00  sec  23.9 MBytes   200 Mbits/sec  0.082 ms  0/17883 (0%)  
[  5]  15.00-16.00  sec  23.7 MBytes   199 Mbits/sec  0.112 ms  0/17747 (0%)  
[  5]  16.00-17.00  sec  24.1 MBytes   202 Mbits/sec  0.077 ms  0/18021 (0%)  
[  5]  17.00-18.00  sec  23.7 MBytes   199 Mbits/sec  0.064 ms  0/17783 (0%)  
