Connecting to host 192.168.90.1, port 5201
Reverse mode, remote host 192.168.90.1 is sending
[  5] local 192.168.89.1 port 40529 connected to 192.168.90.1 port 5201
[ ID] Interval           Transfer     Bitrate         Jitter    Lost/Total Datagrams
[  5]   0.00-1.00   sec  24.8 MBytes   208 Mbits/sec  0.092 ms  21734/40286 (54%)  
[  5]   1.00-2.00   sec  26.1 MBytes   219 Mbits/sec  0.083 ms  24723/44288 (56%)  
[  5]   2.00-3.00   sec  26.1 MBytes   219 Mbits/sec  0.124 ms  23822/43407 (55%)  
[  5]   3.00-4.00   sec  25.4 MBytes   213 Mbits/sec  0.125 ms  26285/45289 (58%)  
[  5]   4.00-5.00   sec  25.2 MBytes   211 Mbits/sec  0.091 ms  26707/45560 (59%)  
[  5]   5.00-6.00   sec  26.1 MBytes   219 Mbits/sec  0.092 ms  25375/44895 (57%)  
[  5]   6.00-7.00   sec  26.0 MBytes   218 Mbits/sec  0.087 ms  25848/45355 (57%)  
[  5]   7.00-8.00   sec  26.2 MBytes   220 Mbits/sec  0.071 ms  24759/44410 (56%)  
[  5]   8.00-9.00   sec  26.4 MBytes   222 Mbits/sec  0.051 ms  24971/44751 (56%)  
[  5]   9.00-10.00  sec  26.0 MBytes   218 Mbits/sec  0.069 ms  23658/43124 (55%)  
[  5]  10.00-11.00  sec  26.5 MBytes   222 Mbits/sec  0.098 ms  25532/45396 (56%)  
[  5]  11.00-12.00  sec  26.6 MBytes   223 Mbits/sec  0.054 ms  24527/44476 (55%)  
[  5]  12.00-13.00  sec  26.3 MBytes   221 Mbits/sec  0.077 ms  24844/44546 (56%)  
[  5]  13.00-14.00  sec  26.1 MBytes   219 Mbits/sec  0.069 ms  25157/44693 (56%)  
[  5]  14.00-15.00  sec  26.2 MBytes   220 Mbits/sec  0.085 ms  24597/44232 (56%)  
[  5]  15.00-16.00  sec  26.6 MBytes   223 Mbits/sec  0.174 ms  25720/45620 (56%)  
[  5]  16.00-17.00  sec  26.2 MBytes   220 Mbits/sec  0.072 ms  26362/45999 (57%)  
